Scenario,New_EOQ,EOQ_Change_%,New_ROP,ROP_Change_%,New_Total_Cost,Total_Cost_Change_%,Safety_Stock
+20% Demand,61635.8,9.5,7127.7,28.5,2588.7,9.5,1007.8
-20% Demand,50325.4,-10.6,4751.8,-14.3,2113.7,-10.6,671.8
+30% Holding Cost,49348.1,-12.3,5939.8,7.1,2694.4,14.0,839.8
-25% Ordering Cost,48727.4,-13.4,5939.8,7.1,2046.5,-13.4,839.8
+50% Lead Time,56265.5,-0.0,8678.5,56.5,2363.2,0.0,1028.5
Optimistic Scenario,55636.8,-1.1,5314.2,-4.2,2103.1,-11.0,826.3
Pessimistic Scenario,53378.2,-5.1,7810.7,40.9,2690.3,13.8,925.7
