Scenario,New_EOQ,EOQ_Change_%,New_ROP,ROP_Change_%,New_Total_Cost,Total_Cost_Change_%,Safety_Stock
+20% Demand,60782.0,9.5,6931.6,28.5,2552.8,9.5,980.0
-20% Demand,49628.3,-10.6,4621.1,-14.3,2084.4,-10.6,653.4
+30% Holding Cost,48664.6,-12.3,5776.4,7.1,2657.1,14.0,816.7
-25% Ordering Cost,48052.4,-13.4,5776.4,7.1,2018.2,-13.4,816.7
+50% Lead Time,55486.2,0.0,8439.8,56.5,2330.4,-0.0,1000.2
Optimistic Scenario,54866.2,-1.1,5168.0,-4.2,2073.9,-11.0,803.5
Pessimistic Scenario,52638.8,-5.1,7595.8,40.9,2653.0,13.8,900.2
