Category,ABC_Class,Annual_Demand,Unit_Cost,Ordering_Cost,Holding_Cost_Percent,Holding_Cost_Per_Unit,EOQ,Order_Frequency,Order_Cycle_Days,Total_Ordering_Cost,Total_Holding_Cost,Total_Cost,Lead_Time_Days,Initial_Stock,Monthly_Order_Quantity,Current_Ordering_Cost,Current_Holding_Cost,Current_Total_Cost,Cost_Saving,Saving_Percentage
Immunity Boost,C,41810,320,500,0.02,0.064,25559.37,1.64,223.13,817.9,817.9,1635.8,14,5500,3484.1666666666665,6000,111.49333333333333,6111.493333333333,4475.693333333333,73.23403772564043
Body Soap,C,135909,160,500,0.02,0.032,65170.21,2.09,175.02,1042.72,1042.72,2085.45,14,8200,11325.75,6000,181.21200000000002,6181.212,4095.7620000000006,66.26147105130839
Roll-on,B,147883,150,500,0.02,0.030000000000000002,70209.92,2.11,173.29,1053.15,1053.15,2106.3,14,8000,12323.583333333334,6000,184.85375000000002,6184.85375,4078.55375,65.94422301416586
Body Splash,B,135062,180,500,0.02,0.036000000000000004,61251.3,2.21,165.53,1102.52,1102.52,2205.05,14,7400,11255.166666666666,6000,202.59300000000002,6202.593,3997.5429999999997,64.44954553684241
Shower Gel,B,135062,190,500,0.02,0.038,59617.64,2.27,161.11,1132.74,1132.74,2265.47,14,8500,11255.166666666666,6000,213.84816666666666,6213.848166666667,3948.378166666667,63.541593884562516
