Category,ABC_Class,Lead_Time_Days,Daily_Demand,Daily_Std_Dev,Service_Level,Z_Score,Safety_Stock,Demand_During_LeadTime,Reorder_Point,Max_Inventory_Level,EOQ,Current_Stock,Stock_Status,Order_Urgency
Body Cream,A,14,354.26,56.31,0.98,2.054,432.73,4959.68,5392.41,55918.89,55486.16,7800,Normal,0
Body Lotion,A,14,381.75,60.69,0.98,2.054,466.34,5344.55,5810.88,59487.52,59021.18,7600,Normal,0
Body Soap,B,14,366.55,58.26,0.95,1.645,358.58,5131.67,5490.26,65018.75,64660.17,8200,Normal,0
Body Splash,B,14,358.96,57.04,0.95,1.645,351.06,5025.39,5376.45,60678.64,60327.58,7400,Normal,0
Conditioner,A,14,365.81,58.18,0.98,2.054,447.05,5121.32,5568.37,58222.48,57775.43,8340,Normal,0
Eye Cream,A,14,460.64,73.24,0.98,2.054,562.83,6448.94,7011.76,59747.04,59184.21,6000,Monitor Closely,0
Face Cream,A,14,403.52,64.18,0.98,2.054,493.15,5649.25,6142.4,57077.83,56584.68,6500,Normal,0
Face Serum,A,14,375.99,59.78,0.98,2.054,459.37,5263.92,5723.29,48285.1,47825.73,6200,Normal,0
Facial Cleanser,B,14,368.88,58.64,0.95,1.645,360.88,5164.27,5525.16,59885.31,59524.43,7000,Normal,0
Hair Mask,A,14,337.51,53.61,0.98,2.054,412.0,4725.17,5137.17,54570.5,54158.5,8000,Normal,0
Hair Serum,A,14,406.39,64.62,0.98,2.054,496.53,5689.48,6186.02,51963.06,51466.53,9750,Normal,0
Hair Treatment,A,14,361.8,57.52,0.98,2.054,441.99,5065.2,5507.19,50836.01,50394.02,7200,Normal,0
Immunity Boost,C,14,116.82,18.58,0.9,1.282,89.08,1635.55,1724.63,25901.2,25812.12,5500,Normal,0
Leave in,A,14,375.82,59.74,0.98,2.054,459.05,5261.55,5720.59,56294.85,55835.8,7600,Normal,0
Makeup Remover,A,14,386.98,61.55,0.98,2.054,472.97,5417.77,5890.74,59897.08,59424.11,6800,Normal,0
Oil,A,14,397.33,63.15,0.98,2.054,485.28,5562.68,6047.96,55452.51,54967.23,7100,Normal,0
Roll-on,C,14,386.43,61.44,0.9,1.282,294.63,5410.02,5704.65,68862.6,68567.97,8000,Normal,0
Shampoo,A,14,376.72,59.93,0.98,2.054,460.55,5274.09,5734.64,59091.39,58630.84,9120,Normal,0
Shower Gel,B,14,356.54,56.66,0.95,1.645,348.73,4991.59,5340.32,58869.53,58520.8,8500,Normal,0
